K,K_in_tropiseq_vocab,la_v3_uat_prott5_xl_seg8_k_only__train_md5s,la_v3_uat_prott5_xl_seg8_k_only__n_phages,la_v3_uat_prott5_xl_seg8_k_only__n_pairs,la_v3_uat_prott5_xl_seg8_k_only__HR1_anyhit,la_v3_uat_prott5_xl_seg8_k_only__HR1_pair,la_v3_uat_prott5_xl_seg8_k_only__MRR_anyhit,la_v3_uat_prott5_xl_seg8_k_only__MRR_pair,la_highconf_pipeline_prott5_xl_seg8_k_only__train_md5s,la_highconf_pipeline_prott5_xl_seg8_k_only__n_phages,la_highconf_pipeline_prott5_xl_seg8_k_only__n_pairs,la_highconf_pipeline_prott5_xl_seg8_k_only__HR1_anyhit,la_highconf_pipeline_prott5_xl_seg8_k_only__HR1_pair,la_highconf_pipeline_prott5_xl_seg8_k_only__MRR_anyhit,la_highconf_pipeline_prott5_xl_seg8_k_only__MRR_pair
<null>,,4715,47,101,0.0,0.0,0.0,0.0,1219,47,101,0.0,0.0,0.0,0.0
K64,,1652,13,14,0.1538,0.1429,0.2154,0.2042,280,13,14,0.0769,0.1429,0.1312,0.1933
K22,,246,12,21,0.4167,0.4762,0.4231,0.4835,7,12,21,0.0,0.0,0.0,0.0
K36,,96,11,11,0.0,0.0,0.0218,0.0218,47,11,11,0.0,0.0,0.0243,0.0243
K13,,236,10,16,0.0,0.0,0.0479,0.0346,23,10,16,0.0,0.0,0.0,0.0
K11,,239,9,9,0.0,0.0,0.0214,0.0214,27,9,9,0.0,0.0,0.0283,0.0283
K35,,228,9,10,0.0,0.0,0.0287,0.0285,47,9,10,0.0,0.0,0.0484,0.0479
K14,,994,8,12,0.125,0.3333,0.2214,0.3992,115,8,12,0.25,0.4167,0.282,0.445
K29,,162,8,8,0.0,0.0,0.0636,0.0636,10,8,8,0.0,0.0,0.0,0.0
K30,,665,8,8,0.0,0.0,0.1169,0.1169,240,8,8,0.125,0.125,0.2557,0.2557
K8,,242,8,8,0.0,0.0,0.0198,0.0198,3,8,8,0.0,0.0,0.0,0.0
KL151,,265,8,17,0.125,0.2353,0.1427,0.2469,93,8,17,0.125,0.2353,0.1861,0.3278
K60,,229,7,7,0.1429,0.1429,0.1966,0.1966,10,7,7,0.0,0.0,0.0,0.0
K74,,389,7,7,0.1429,0.1429,0.1644,0.1644,75,7,7,0.1429,0.1429,0.3619,0.3619
K19,,329,6,6,0.0,0.0,0.0993,0.0993,136,6,6,0.0,0.0,0.081,0.081
K3,,667,6,6,0.1667,0.1667,0.2516,0.2516,190,6,6,0.1667,0.1667,0.2599,0.2599
K31,,104,6,6,0.0,0.0,0.03,0.03,10,6,6,0.0,0.0,0.0,0.0
K63,,242,6,6,0.0,0.0,0.0409,0.0409,54,6,6,0.0,0.0,0.054,0.054
K68,,1201,6,6,0.5,0.5,0.625,0.625,720,6,6,0.6667,0.6667,0.6905,0.6905
K1,,499,5,6,0.6,0.6667,0.6182,0.6818,318,5,6,0.2,0.1667,0.2705,0.2342
K12,,134,5,5,0.0,0.0,0.0247,0.0247,6,5,5,0.0,0.0,0.0,0.0
K24,,803,5,5,0.0,0.0,0.1234,0.1234,28,5,5,0.0,0.0,0.0,0.0
K33,,34,5,5,0.0,0.0,0.0196,0.0196,3,5,5,0.0,0.0,0.0,0.0
K37,,125,5,5,0.0,0.0,0.0045,0.0045,9,5,5,0.0,0.0,0.0,0.0
K54,,364,5,5,0.8,0.8,0.8,0.8,193,5,5,0.6,0.6,0.65,0.65
K65,,40,5,5,0.0,0.0,0.0277,0.0277,0,5,5,0.0,0.0,0.0,0.0
KL126,,166,5,5,0.0,0.0,0.0116,0.0116,91,5,5,0.0,0.0,0.0173,0.0173
K25,,1378,4,7,0.75,0.8571,0.7556,0.8603,261,4,7,0.5,0.7143,0.5479,0.7417
K26,,73,4,4,0.0,0.0,0.0172,0.0172,2,4,4,0.0,0.0,0.0,0.0
K32,,31,4,4,0.0,0.0,0.0142,0.0142,1,4,4,0.0,0.0,0.0,0.0
K46,,368,4,5,0.0,0.0,0.0445,0.0371,116,4,5,0.0,0.0,0.0277,0.0244
K47,,497,4,4,0.0,0.0,0.1072,0.1072,188,4,4,0.0,0.0,0.0971,0.0971
K49,,110,4,4,0.0,0.0,0.0605,0.0605,4,4,4,0.0,0.0,0.0,0.0
K57,,233,4,4,0.0,0.0,0.1255,0.1255,111,4,4,0.0,0.0,0.115,0.115
K61,,240,4,4,0.0,0.0,0.0153,0.0153,19,4,4,0.0,0.0,0.0,0.0
K16,,430,3,6,0.0,0.0,0.0263,0.024,224,3,6,0.0,0.0,0.0364,0.0263
K18,,177,3,3,0.0,0.0,0.2426,0.2426,8,3,3,0.0,0.0,0.0,0.0
K2,,1035,3,5,0.0,0.0,0.0722,0.0533,435,3,5,0.3333,0.6,0.4722,0.6833
K39,,271,3,9,0.0,0.0,0.1417,0.1593,23,3,9,0.0,0.0,0.0,0.0
K43,,292,3,3,0.3333,0.3333,0.4444,0.4444,19,3,3,0.0,0.0,0.0,0.0
K55,,261,3,3,0.0,0.0,0.0238,0.0238,38,3,3,0.0,0.0,0.0337,0.0337
K58,,144,3,3,0.0,0.0,0.0427,0.0427,102,3,3,0.0,0.0,0.0345,0.0345
K59,,8,3,3,0.0,0.0,0.0,0.0,4,3,3,0.0,0.0,0.0,0.0
K80,,21,3,3,0.0,0.0,0.0,0.0,5,3,3,0.0,0.0,0.0,0.0
KL102,,1182,3,14,0.3333,0.2857,0.3385,0.2912,940,3,14,0.0,0.0,0.0108,0.0101
KL134,,79,3,3,0.0,0.0,0.0101,0.0101,49,3,3,0.0,0.0,0.0108,0.0108
KL140,,81,3,12,1.0,1.0,1.0,1.0,48,3,12,1.0,1.0,1.0,1.0
KL149,,163,3,3,0.0,0.0,0.006,0.006,6,3,3,0.0,0.0,0.0,0.0
K10,,825,2,2,0.0,0.0,0.1833,0.1833,296,2,2,0.0,0.0,0.0678,0.0678
K17,,906,2,2,0.5,0.5,0.5238,0.5238,613,2,2,0.5,0.5,0.5625,0.5625
K20,,341,2,4,0.0,0.0,0.101,0.1061,58,2,4,0.0,0.0,0.0272,0.0297
K34,,110,2,2,0.0,0.0,0.0223,0.0223,25,2,2,0.0,0.0,0.0607,0.0607
K38,,340,2,2,0.0,0.0,0.0,0.0,13,2,2,0.0,0.0,0.0,0.0
K4,,56,2,2,0.0,0.0,0.0,0.0,5,2,2,0.0,0.0,0.0,0.0
K41,,129,2,2,0.0,0.0,0.0128,0.0128,20,2,2,0.0,0.0,0.0,0.0
K44,,3,2,2,0.0,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0,0.0
K82,,54,2,2,0.0,0.0,0.0143,0.0143,0,2,2,0.0,0.0,0.0,0.0
KL146,,70,2,2,0.0,0.0,0.0435,0.0435,33,2,2,0.0,0.0,0.0114,0.0114
K42,,90,1,1,0.0,0.0,0.0,0.0,2,1,1,0.0,0.0,0.0,0.0
K5,,254,1,1,0.0,0.0,0.0,0.0,35,1,1,0.0,0.0,0.0,0.0
K51,,736,1,1,0.0,0.0,0.0909,0.0909,51,1,1,0.0,0.0,0.0667,0.0667
K6,,175,1,1,0.0,0.0,0.0323,0.0323,18,1,1,0.0,0.0,0.0,0.0
K62,,655,1,3,0.0,0.0,0.25,0.25,273,1,3,0.0,0.0,0.0476,0.0476
