dataset	phage_id	k_only_rank	o_only_rank	merged_rank	k_hit@1	o_hit@1	merged_hit@1	or_hit@1
CHEN	Phi_K2044_PFU_mL	1	1	1	1	1	1	1
CHEN	Phi_KR1_PFU_mL	1	1	1	1	1	1	1
CHEN	Phi_KR8_PFU_mL	1	1	1	1	1	1	1
GORODNICHIV	KpS8	1		1	1	0	1	1
GORODNICHIV	vB_KpnM_Seu621	1		1	1	0	1	1
GORODNICHIV	vB_KpnP_Dlv622	1		1	1	0	1	1
UCSD	APV	1	3	1	1	0	1	1
UCSD	Ace	1	2	1	1	0	1	1
UCSD	Beam	1	1	1	1	1	1	1
UCSD	Chai				0	0	0	0
UCSD	KL35	1	1	1	1	1	1	1
UCSD	LK1	2	6	2	0	0	0	0
UCSD	LK2				0	0	0	0
UCSD	LK3	46	50	51	0	0	0	0
UCSD	QTY	1	1	1	1	1	1	1
UCSD	Rec	1	1	1	1	1	1	1
UCSD	Turmeric	1	1	1	1	1	1	1
PBIP	PH-KP4547	1	1	1	1	1	1	1
PBIP	PH-KP4956-A	1	1	1	1	1	1	1
PBIP	PH-KP5048	1	1	1	1	1	1	1
PBIP	PH-KP5066	1	1	1	1	1	1	1
PBIP	PH-KP5130-A	1	1	1	1	1	1	1
PBIP	PH-KP5137	1	1	1	1	1	1	1
PBIP	PH-KP5150	1	1	1	1	1	1	1
PBIP	PH-KP5287	1	1	1	1	1	1	1
PBIP	PH-KP5295	1	1	1	1	1	1	1
PBIP	PH-KP5431	1	1	1	1	1	1	1
PBIP	PH-KP5493-A	1	1	1	1	1	1	1
PBIP	PH-KP5556	1	1	1	1	1	1	1
PBIP	PH-KP5996	1	1	1	1	1	1	1
PBIP	PH-KP6017		1	1	0	1	1	1
PBIP	PH-KP6047	1	1	1	1	1	1	1
PBIP	PH-KP6049	1	1	1	1	1	1	1
PBIP	PH-KP6208	1	1	1	1	1	1	1
PBIP	PH-KP6221	1	1	1	1	1	1	1
PBIP	PH-KP6604	1	1	1	1	1	1	1
PBIP	PH-KP7102	1	1	1	1	1	1	1
PBIP	PH-KP7138	1	1	1	1	1	1	1
PBIP	PH-KP7148	1	1	1	1	1	1	1
PBIP	PH-KP7159-A	1	1	1	1	1	1	1
PBIP	PH-KP7168	1	1	1	1	1	1	1
PBIP	PH-KP7215-A	1	1	1	1	1	1	1
PBIP	PH-KP7215-B	1	1	1	1	1	1	1
PBIP	PH-KP7333	1	1	1	1	1	1	1
PBIP	PH-KP7338	1	1	1	1	1	1	1
PBIP	PH-KP7524	1	1	1	1	1	1	1
PBIP	PH-KP7526	1	1	1	1	1	1	1
PBIP	PH-KP7569	1	1	1	1	1	1	1
PBIP	PH-KP7639	1	1	1	1	1	1	1
PBIP	PH-KP7654	1	1	1	1	1	1	1
PBIP	PH-KP7673	1	1	1	1	1	1	1
PBIP	PH-KP7678	1	1	1	1	1	1	1
PBIP	PH-KP7693	1	1	1	1	1	1	1
PBIP	PH-KP7760	1	1	1	1	1	1	1
PBIP	PH-KP8557	1	1	1	1	1	1	1
PBIP	PH-KP8565	1	1	1	1	1	1	1
PBIP	PH-KP8632	1	1	1	1	1	1	1
PBIP	PH-KP8860-A1	1	1	1	1	1	1	1
PBIP	PH-KP8870-A1	1	1	1	1	1	1	1
PBIP	PH-KP8949-A	1	1	1	1	1	1	1
PBIP	PH-KP9052-A1	1	1	1	1	1	1	1
PBIP	PH-KP9064-1	1	1	1	1	1	1	1
PBIP	PH-KP9072-1	1	1	1	1	1	1	1
PBIP	PH-KP9074-1	1	1	1	1	1	1	1
PBIP	PH-KP9095-1	1	1	1	1	1	1	1
PBIP	PH-KP9115-1	1	1	1	1	1	1	1
PBIP	PH-KP9140-1	1	1	1	1	1	1	1
PBIP	PH-KP9202-B1	1	1	1	1	1	1	1
PBIP	PH-KP9202_A1	1	1	1	1	1	1	1
PBIP	PH-KP9233-A1	1	1	1	1	1	1	1
PBIP	PH-KP9247-C1	1	1	1	1	1	1	1
PBIP	PH-KP9269-A1	1	1	1	1	1	1	1
PBIP	PH-KP9298-A1	1	1	1	1	1	1	1
PBIP	PH-KP9310-A1	1	1	1	1	1	1	1
PBIP	PH-KP9332_A1	1	1	1	1	1	1	1
PBIP	PH-KP9349_A1	1	1	1	1	1	1	1
PBIP	PH-KP9380-A1	1	1	1	1	1	1	1
PBIP	PH-KP9384_A1	1	1	1	1	1	1	1
PBIP	PH-KP9384_B1	1	1	1	1	1	1	1
PBIP	PH-KP9433_A1	1	1	1	1	1	1	1
PBIP	PH-KP9502-A1	1	1	1	1	1	1	1
PBIP	PH-KP9550-A1	1	1	1	1	1	1	1
PBIP	PH-KP9628-A1	1	1	1	1	1	1	1
PBIP	PH-KP9628-B1	1	1	1	1	1	1	1
PBIP	PH-KP9716-A	1	1	1	1	1	1	1
PBIP	PH-KP9841-A1	1	1	1	1	1	1	1
PBIP	PH-KP9856-A1	1	1	1	1	1	1	1
PBIP	PHKP-9504-AB1	1	1	1	1	1	1	1
PBIP	PHKP-9529-1	1	1	1	1	1	1	1
PBIP	PHKP-9534-A1	1	1	1	1	1	1	1
PBIP	PHKP4049	1	1	1	1	1	1	1
PBIP	PHKP8949_A1	1	1	1	1	1	1	1
PBIP	PHKP9060-1	1	1	1	1	1	1	1
PBIP	PHKP9088-A	1	1	1	1	1	1	1
PBIP	PHKP9242_A1	1	1	1	1	1	1	1
PBIP	PHKP9242_B1	1	1	1	1	1	1	1
PBIP	PHKP9275_B1	1	1	1	1	1	1	1
PBIP	PHKP9283_B1	1	1	1	1	1	1	1
PBIP	PHKP9310_B1	1	1	1	1	1	1	1
PBIP	PHKP9429_B1	1	1	1	1	1	1	1
PBIP	PHKP9429_C1	1	1	1	1	1	1	1
PBIP	PHKP9450-A1	1	1	1	1	1	1	1
PBIP	PHKP9450-B1	1	1	1	1	1	1	1
PBIP	PHKP9471-A1	1	2	1	1	0	1	1
PBIP	PHKP9495-AB1	1	1	1	1	1	1	1
PBIP	PHKP9582-1	1	1	1	1	1	1	1
PBIP	PHKP9716_A1	1	1	1	1	1	1	1
PBIP	PHKP9748-A1	1	1	1	1	1	1	1
PBIP	PHKP9773_A1	1	1	1	1	1	1	1
PBIP	PHKP9773_B1	1	1	1	1	1	1	1
PBIP	PHKP9773_C1	1	1	1	1	1	1	1
PBIP	PHKP9778_C1	1	1	1	1	1	1	1
PBIP	PHKP9822_B1	1	1	1	1	1	1	1
