label	dim	n_md5s	n_k_classes	n_o_classes	between_mean	between_median	between_std	cohens_d	gap_mean	gap_median	k_between_mean	k_between_median	k_between_std	k_cohens_d	k_gap_mean	k_gap_median	k_n_between_pairs	k_n_within_pairs	k_within_mean	k_within_median	k_within_std	o_between_mean	o_between_median	o_between_std	o_cohens_d	o_gap_mean	o_gap_median	o_n_between_pairs	o_n_within_pairs	o_within_mean	o_within_median	o_within_std	within_mean	within_median	within_std
esm2_150m_mean	640	59065	161	22							0.9227	0.9717	0.1946	+0.037	+0.0070	+0.0015	20000	4919	0.9297	0.9732	0.1811	0.9116	0.9709	0.2192	+0.006	+0.0012	+0.0007	20000	4989	0.9128	0.9715	0.2192			
esm2_650m_mean	1280	59065	161	22							0.9446	0.9714	0.0910	+0.046	+0.0041	+0.0011	20000	4919	0.9487	0.9725	0.0868	0.9400	0.9708	0.1003	-0.001	-0.0001	+0.0004	20000	4989	0.9399	0.9712	0.1023			
esm2_650m_seg4	5120	59065	161	22							0.9054	0.9305	0.0932	+0.065	+0.0060	+0.0016	20000	4919	0.9115	0.9321	0.0914	0.9007	0.9296	0.1021	+0.004	+0.0004	+0.0001	20000	4989	0.9011	0.9297	0.1036			
prott5_mean	1024	59065	161	22							0.5808	0.6121	0.2052	+0.142	+0.0311	+0.0099	20000	4919	0.6119	0.6219	0.2313	0.5723	0.6023	0.2092	+0.031	+0.0066	+0.0110	20000	4989	0.5789	0.6133	0.2146			
esm2_3b_mean	2560	59065	161	22							0.9776	0.9856	0.0252	+0.072	+0.0018	+0.0008	20000	4919	0.9794	0.9864	0.0247	0.9763	0.9853	0.0272	+0.005	+0.0001	+0.0002	20000	4989	0.9764	0.9855	0.0276			
esm2_650m_seg8	10240	59065	161	22							0.8826	0.9053	0.0930	+0.050	+0.0047	+0.0013	20000	4919	0.8874	0.9066	0.0958	0.8774	0.9038	0.1021	+0.030	+0.0030	+0.0004	20000	4989	0.8804	0.9042	0.0982			
esm2_650m_seg16	20480	59065	161	22							0.8566	0.8769	0.0933	+0.059	+0.0056	+0.0018	20000	4919	0.8622	0.8787	0.0974	0.8517	0.8759	0.1018	+0.029	+0.0029	+0.0000	20000	4989	0.8546	0.8759	0.0984			
kmer_aa20_k3	8000	59065	161	22							0.1234	0.1186	0.0674	+0.437	+0.0658	+0.0051	20000	4919	0.1893	0.1237	0.2021	0.1204	0.1164	0.0672	+0.097	+0.0077	+0.0013	20000	4989	0.1281	0.1177	0.0900			
kmer_murphy8_k5	32768	59065	161	22							0.0473	0.0401	0.0543	+0.479	+0.0727	+0.0033	20000	4919	0.1201	0.0434	0.2078	0.0461	0.0395	0.0529	+0.108	+0.0076	+0.0009	20000	4989	0.0537	0.0404	0.0831			
kmer_li10_k5	100000	59065	161	22							0.0360	0.0271	0.0551	+0.479	+0.0739	+0.0024	20000	4919	0.1099	0.0295	0.2113	0.0348	0.0265	0.0535	+0.108	+0.0076	+0.0008	20000	4989	0.0424	0.0273	0.0845			
kmer_aa20_k4	160000	59065	161	22							0.0164	0.0091	0.0499	+0.481	+0.0721	+0.0011	20000	4919	0.0885	0.0102	0.2060	0.0157	0.0089	0.0487	+0.106	+0.0070	+0.0003	20000	4989	0.0227	0.0092	0.0804			
kmer_murphy10_k5	161051	59065	161	22							0.0215	0.0139	0.0516	+0.485	+0.0740	+0.0018	20000	4919	0.0955	0.0157	0.2094	0.0208	0.0137	0.0502	+0.106	+0.0072	+0.0004	20000	4989	0.0280	0.0141	0.0824			
