host_genome	K_type	O_type	phage_genome	protein_id	is_tsp	md5	matrix_phage_name
GCF_902164905.1	KL41		GCF_902164905.1__phage1	GCF_902164905.1__phage1__34	0	7d98641c42fd08dd0edd4c9cd40461e5	GCF_902164905.1__phage1
n4984	KL106		GCF_015910145.1__phage5	GCF_015910145.1__phage5__1351	0	eb8b4c757342ed08815d149eb015dc90	GCF_015910145.1__phage5
n4984	KL122		GCF_015910145.1__phage5	GCF_015910145.1__phage5__1351	0	eb8b4c757342ed08815d149eb015dc90	GCF_015910145.1__phage5
n4984	KL30		GCF_015910145.1__phage5	GCF_015910145.1__phage5__1351	0	eb8b4c757342ed08815d149eb015dc90	GCF_015910145.1__phage5
GCF_900622625.1	KL6		GCF_900622625.1__phage2	GCF_900622625.1__phage2__2892	0	f8cbc1500e3a7f6859a618d7b3e215a3	GCF_900622625.1__phage2
80.7/1001331	KL19		GCF_011044795.1__phage17	GCF_011044795.1__phage17__11	0	c23d8ff0a607e2735ebe66bdc086591a	GCF_011044795.1__phage17
n12421242	KL10		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL102		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL117		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL125		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL14		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL16		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL2		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL20		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL24		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL25		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL28		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL3		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL30		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL35		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL38		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL39		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL43		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL46		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL55		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL57		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL60		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL62		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL64		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
n12421242	KL8		GCF_019096335.1__phage21	GCF_019096335.1__phage21__173	0	54dfe1b887f60d7448e81cb846f1903c	GCF_019096335.1__phage21
