protein_id	DePP_85	PhageRBPdetect	DepoScope	DepoRanker	SpikeHunter	dbCAN	IPR	phold_glycan_tailspike	total_sources
GCF_902164905.1__phage1__34	1	1	1	1	1	1	1	1	8
GCF_015910145.1__phage5__1351	1	1	1	1	1	1	1	1	8
GCF_900622625.1__phage2__2892	1	1	1	1	1	1	1	1	8
GCF_011044795.1__phage17__11	1	1	1	1	1	1	1	1	8
GCF_019096335.1__phage21__173	1	1	1	1	1	1	1	1	8
GCF_002587885.1__phage4__1730	1	1	1	1	1	1	1	1	8
GCF_018274905.1__phage20__8	1	1	1	1	1	1	1	1	8
GCF_003583155.1__phage21__19	1	1	1	1	1	1	1	1	8
GCF_007833575.1__phage6__3440	1	1	1	1	1	1	1	1	8
GCF_020177805.1__phage25__109	1	1	1	1	1	1	1	1	8
GCF_021460075.1__phage11__5229	1	1	1	1	1	1	1	1	8
GCF_002180695.1__phage14__89	1	1	1	1	1	1	1	1	8
GCF_002853815.1__phage15__1	1	1	1	1	1	1	1	1	8
GCF_003345685.1__phage13__210	1	1	1	1	1	1	1	1	8
GCF_013704985.1__phage7__2024	1	1	1	1	1	1	1	1	8
GCF_000409715.1__phage2__244	1	1	1	1	1	1	1	1	8
GCF_002181265.1__phage20__17	1	1	1	1	1	1	1	1	8
GCF_922829415.1__phage2__1149	1	1	1	1	1	1	1	1	8
GCF_015207995.1__phage9__5	1	1	1	1	1	1	1	1	8
GCF_021135695.1__phage1__410	1	1	1	1	1	1	1	1	8
GCF_901421045.1__phage13__3680	1	1	1	1	1	1	1	1	8
GCF_013376535.2__phage3__913	1	1	1	1	1	1	1	1	8
GCF_020149785.1__phage9__3711	1	1	1	1	1	1	1	1	8
GCF_003057345.1__phage5__92	1	1	1	1	1	1	1	1	8
GCF_003073335.1__phage14__4345	1	1	1	1	1	1	1	1	8
GCF_019703225.1__phage11__3249	1	1	1	1	1	1	1	1	8
GCF_001903625.3__phage15__1	1	1	1	1	1	1	1	1	8
GCF_020023465.1__phage6__1900	1	1	1	1	1	1	1	1	8
GCF_019930465.1__phage5__69	1	1	1	1	1	1	1	1	8
GCF_900514815.1__phage9__38	1	1	1	1	1	1	1	1	8
GCF_019930305.1__phage3__235	1	1	1	1	1	1	1	1	8
GCF_002290285.1__phage21__5745	1	1	1	1	1	1	1	1	8
GCF_900511765.1__phage18__0	1	1	1	1	1	1	1	1	8
GCF_900509485.1__phage10__27	1	1	1	1	1	1	1	1	8
GCF_900513115.1__phage3__767	1	1	1	1	1	1	1	1	8
GCF_001663295.1__phage0__112	1	1	1	1	1	1	1	1	8
GCF_019444195.1__phage4__1393	1	1	1	1	1	1	1	1	8
GCF_900509455.1__phage5__2	1	1	1	1	1	1	1	1	8
